WORD,IM_Y_M_N,IM_Y_F_N,IM_O_M_N,IM_O_F_N,IM_Y_M_MEAN,IM_Y_F_MEAN,IM_O_M_MEAN,IM_O_F_MEAN,IM_Y_M_SD,IM_Y_F_SD,IM_O_M_SD,IM_O_F_SD,IM_Y_N,IM_O_N,IM_Y_MEAN,IM_O_MEAN,IM_Y_SD,IM_O_SD,EM_Y_M_N,EM_Y_F_N,EM_O_M_N,EM_O_F_N,EM_Y_M_MEAN,EM_Y_F_MEAN,EM_O_M_MEAN,EM_O_F_MEAN,EM_Y_M_SD,EM_Y_F_SD,EM_O_M_SD,EM_O_F_SD,EM_Y_N,EM_O_N,EM_Y_MEAN,EM_O_MEAN,EM_Y_SD,EM_O_SD,F_Unknown_Y,F_Unknown_O,Kategorie,WORD_length,length_group,Is_plant
Aal,11,10,12,10,90.55,93.4,97.33,90.5,12.3,12.3,3.26,14.79,21,22,91.9,94.23,12.08,10.56,10,8,9,10,22.6,-15.13,45.44,27.8,37.05,24.1,27.38,51.56,18,19,5.83,36.16,36.58,41.77,0.0,0.0,nature_based_non_human,3,short_word,
Aas,10,10,13,11,73.1,57.5,80.69,59.64,20.44,33.55,22.13,34.92,20,24,65.3,71.04,28.2,30.01,10,9,11,8,-49.7,-49.0,-49.09,-81.5,23.77,27.46,34.06,21.04,19,19,-49.37,-62.74,24.86,32.97,0.0,0.0,,3,short_word,
Abend,10,11,10,12,53.8,52.27,59.9,74.08,28.96,23.63,25.21,25.97,21,22,53.0,67.64,25.63,26.04,8,10,8,11,46.13,40.2,42.13,56.55,16.84,34.42,26.29,25.94,18,19,42.83,50.47,27.44,26.39,0.0,0.0,,5,short_word,
Abendbrot,9,11,13,10,64.89,62.64,84.85,82.5,18.72,14.12,21.24,21.13,20,23,63.65,83.83,15.93,20.74,8,11,11,9,35.5,23.91,66.64,49.67,21.94,24.28,22.06,36.59,19,20,28.79,59.0,23.44,29.92,0.0,0.0,,9,long_word,
Abfall,8,10,13,9,73.38,77.8,67.46,60.89,28.84,23.41,27.28,30.23,18,22,75.83,64.77,25.26,28.0,10,8,8,11,-49.1,-28.13,-43.88,-46.91,24.75,15.05,34.31,25.5,18,19,-39.78,-45.63,23.08,28.66,0.0,0.0,,6,short_word,
Abgrund,11,9,11,11,72.27,61.33,72.64,68.64,23.04,9.33,24.48,30.41,20,22,67.35,70.64,18.63,27.01,9,9,8,11,-41.22,-53.0,-57.75,-59.55,50.04,33.07,22.59,35.79,18,19,-47.11,-58.79,41.59,30.18,0.0,0.0,,7,long_word,
Abhang,11,8,12,11,64.09,50.5,88.67,74.45,36.02,13.73,12.83,27.1,19,23,58.37,81.87,29.01,21.65,10,8,8,11,-14.8,-22.38,-14.63,-17.82,31.44,37.31,26.42,51.2,18,19,-18.17,-16.47,33.34,41.6,0.0,0.0,,6,short_word,
Abnahme,11,10,13,10,23.64,20.6,27.38,44.5,22.2,20.53,22.0,25.72,21,23,22.19,34.83,20.94,24.7,9,9,10,9,-21.67,-13.33,14.6,-1.56,27.35,34.16,18.72,26.51,18,19,-17.5,6.95,30.32,23.59,0.0,0.0,,7,long_word,
Abrechnung,10,9,13,10,47.1,28.0,58.08,52.5,30.52,29.42,34.39,35.85,19,23,38.05,55.65,30.77,34.33,11,8,9,10,-27.55,-48.13,2.89,1.7,40.62,30.88,8.15,27.57,19,19,-36.21,2.26,37.37,20.25,0.0,0.0,,10,long_word,
Abruf,14,15,15,17,13.36,22.93,34.07,31.88,10.92,19.48,28.51,25.11,29,32,18.31,32.91,16.39,26.34,8,10,9,10,-18.75,-11.1,4.0,1.7,27.01,21.07,13.89,7.7,18,19,-14.5,2.79,23.47,10.81,0.0,0.0,,5,short_word,
Absicht,10,9,12,11,14.4,12.0,18.92,42.18,17.12,13.16,21.43,31.69,19,23,13.26,30.04,15.0,28.76,8,10,9,10,-2.75,-1.4,6.78,8.3,30.09,44.1,8.57,9.99,18,19,-2.0,7.58,37.46,9.12,0.0,0.0,,7,long_word,
Absprache,10,8,13,9,27.9,19.25,45.0,35.11,28.2,13.36,34.21,26.99,18,22,24.06,40.95,22.67,31.16,10,8,10,9,-6.2,11.63,6.6,16.33,22.82,28.05,7.65,33.38,18,19,1.72,11.21,26.13,23.44,0.0,0.0,,9,long_word,
Abstimmung,11,11,13,9,40.91,34.36,43.77,42.33,31.34,22.94,34.49,31.66,22,22,37.64,43.18,27.01,32.59,10,9,11,8,15.5,13.67,17.82,20.0,23.42,27.77,21.22,31.47,19,19,14.63,18.74,24.86,25.23,0.0,0.0,,10,long_word,
Abwasch,9,9,13,10,62.78,76.89,82.0,87.1,35.75,14.11,25.77,18.53,18,23,69.83,84.22,27.35,22.57,9,10,10,9,-47.22,-33.1,-24.5,-16.44,38.16,31.25,33.74,35.05,19,19,-39.79,-20.68,34.47,33.65,0.0,0.0,,7,long_word,
Abweichung,9,11,12,11,24.44,17.91,36.17,41.18,22.12,21.94,28.32,32.48,20,23,20.85,38.57,21.69,29.78,9,10,9,10,-4.0,-14.3,-8.89,-14.9,42.95,14.39,25.16,17.08,19,19,-9.42,-12.05,30.84,20.9,0.0,0.0,,10,long_word,
Abwertung,9,11,12,11,27.56,15.09,34.58,33.73,27.6,14.65,33.86,32.38,20,23,20.7,34.17,21.77,32.4,10,9,9,10,-47.4,-51.67,-31.67,-29.1,20.86,26.42,30.5,28.33,19,19,-49.42,-30.32,23.08,28.58,0.0,0.0,,9,long_word,
Achsel,11,10,13,10,72.36,77.0,74.0,83.9,21.34,26.54,18.54,18.48,21,23,74.57,78.3,23.46,18.77,10,9,10,9,-3.6,-7.0,0.8,13.56,23.17,31.21,20.27,16.79,19,19,-5.21,6.84,26.54,19.33,0.0,0.0,,6,short_word,
Achterbahn,10,9,12,10,85.6,91.78,93.67,86.4,14.37,10.57,8.32,15.0,19,22,88.53,90.36,12.76,12.1,9,10,8,11,10.56,11.5,-19.88,-18.27,34.79,52.05,41.47,38.32,19,19,11.05,-18.95,43.51,38.54,0.0,0.0,,10,long_word,
