Word1,Emo_condition,Word2,Ima_condition,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.51163429999906,14.51163429999906,return,7.012708700000076,None,,,,,,,,,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Floh,None,Vanille,None,0,0,0,0,,,,,,22.54056649999984,22.54056649999984,"
Vanille",['return'],0,[9.031380800000989],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Brombeere,None,Hochschule,None,0,1,1,1,,,,,,32.59048339999936,32.59048339999936,"
Hochschule",['return'],0,[4.30963200000042],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Fähre,None,Sommer,None,0,2,2,2,,,,,,37.92385639999884,37.92385639999884,"
Sommer",['return'],0,[2.4801410000000033],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Unkraut,emo_mid,Duft,ima_mid,0,3,3,3,,,,,,41.423892499999056,41.423892499999056,"
Duft",['return'],0,[5.06000910000148],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Antrieb,emo_mid,Kunststück,ima_mid,0,4,4,4,,,,,,47.50727030000053,47.50727030000053,"
Kunststück",['return'],0,[7.009172600000966],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Inhalt,emo_mid,Handel,ima_mid,0,5,5,5,,,,,,55.54043599999932,55.54043599999932,"
???",['return'],0,[17.840455200001088],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Fahrstuhl,emo_mid,Diebstahl,ima_mid,0,6,6,6,,,,,,74.39011919999939,74.39011919999939,"
Diebstahl",['return'],0,[4.7978538000006665],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Werkstatt,emo_mid,Verein,ima_mid,0,7,7,7,,,,,,80.19020189999901,80.19020189999901,"
Verein",['return'],0,[3.35009330000139],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
Bündel,emo_mid,Zerstörung,ima_mid,0,8,8,8,,,,,,84.55705660000058,84.55705660000058,"
Zerstörung",['return'],0,[5.464704200001506],[None],,SI96LL040624,2024-06-04_14h56.44.675,SNORE_recall_in_person,2023.1.3,59.82807803482728,
