key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
return,11.069,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"

","[""return""]",0,[8.576999999999998],[null],0,0,0,14,1,Käfer,5,emo_mid,short_word,Hengst,6,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Ei
","[""return""]",0,[2.1769999999999996],[null],0,1,1,3,1,Gaul,4,emo_mid,short_word,Ei,2,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,Blutegel,"[""return""]",0,[74.74800000000002],[null],0,2,2,18,1,Habicht,7,emo_mid,long_word,Blutegel,8,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Rosenkohl
","[""return""]",0,[6.496999999999986],[null],0,3,3,25,1,Dromedar,8,emo_mid,long_word,Rosenkohl,9,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Krähe
","[""return""]",0,[6.645999999999987],[null],0,4,4,17,1,Busch,5,emo_mid,short_word,Krähe,5,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"

","[""return""]",0,[18.845],[null],0,5,5,28,1,Kardinal,8,emo_mid,long_word,Sellerie,8,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Ente
","[""return""]",0,[2.562999999999988],[null],0,6,6,13,1,Zeder,5,emo_mid,short_word,Ente,4,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Fisch
","[""return""]",0,[3.412000000000006],[null],0,7,7,10,1,Raupe,5,emo_mid,short_word,Fisch,5,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Krähe
","[""return""]",0,[11.576999999999998],[null],0,8,8,32,1,Strauch,7,emo_mid,long_word,Rebhuhn,7,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"

","[""return""]",0,[2.275999999999982],[null],0,9,9,34,1,Krokodil,8,emo_mid,long_word,Seeigel,7,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Stinktier
","[""return""]",0,[6.720999999999975],[null],0,10,10,31,1,Eidechse,8,emo_mid,long_word,Stinktier,9,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Gras
","[""return""]",0,[2.5490000000000066],[null],0,11,11,2,1,Hafer,5,emo_mid,short_word,Gras,4,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Frucht
","[""return""]",0,[4.2690000000000055],[null],0,12,12,7,1,Boxer,5,emo_mid,short_word,Frucht,6,ima_high,short_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Walnuss
","[""return""]",0,[3.5790000000000077],[null],0,13,13,30,1,Lorbeer,7,emo_mid,long_word,Walnuss,7,ima_high,long_word
,,,TEST; IN02MS110624,2024-06-11_06h12.12.463,SNORE_recall_online,2023.1.3,MacIntel,62.5,"Bock
","[""return""]",0,[2.279000000000025],[null],0,14,14,5,1,Quitte,6,emo_mid,short_word,Bock,4,ima_high,short_word
