key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize
return,2.226,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,,,,,,,,,,,,,,,,,,,
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Tiger,"[""return""]",0,[13.333000000000002],[null],0,0,0,16,1,Barsch,6,emo_mid,short_word,Tiger,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Faultier,"[""return""]",0,[13.699000000000002],[null],0,1,1,7,1,Zwiebel,7,emo_mid,long_word,Faultier,8,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Schlange,"[""return""]",0,[4.479999999999997],[null],0,2,2,25,1,Walross,7,emo_mid,long_word,Schlange,8,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Seeigel,"[""return""]",0,[5.631],[null],0,3,3,34,1,Krokodil,8,emo_mid,long_word,Seeigel,7,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Otter,"[""return""]",0,[6.597999999999999],[null],0,4,4,33,1,Mammut,6,emo_mid,short_word,Otter,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Q,"[""return""]",0,[142.68900000000002],[null],0,5,5,14,1,Maulwurf,8,emo_mid,long_word,Karpfen,7,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Spargel,"[""return""]",0,[7.190000000000026],[null],0,6,6,8,1,Knoblauch,9,emo_mid,long_word,Spargel,7,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Gras,"[""return""]",0,[2.3600000000000136],[null],0,7,7,2,1,Hafer,5,emo_mid,short_word,Gras,4,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Blutegel,"[""return""]",0,[7.3489999999999895],[null],0,8,8,19,1,Habicht,7,emo_mid,long_word,Blutegel,8,ima_high,long_word,TRUE
