key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,Emo_condition,Word2,Ima_condition
return,7.7059,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Vanille,"[""return""]",0,[4.8976999999880775],[null],0,0,0,0,1,Floh,None,Vanille,None
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Hochschule,"[""return""]",0,[3.2903999999761524],[null],0,1,1,1,1,Brombeere,None,Hochschule,None
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Sommer,"[""return""]",0,[2.535399999976157],[null],0,2,2,2,1,Fähre,None,Sommer,None
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Duft,"[""return""]",0,[2.735999999999997],[null],0,3,3,3,1,Unkraut,emo_mid,Duft,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Kunststück,"[""return""]",0,[5.471800000011918],[null],0,4,4,4,1,Antrieb,emo_mid,Kunststück,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,???,"[""return""]",0,[4.028699999988078],[null],0,5,5,5,1,Inhalt,emo_mid,Handel,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Diebstahl,"[""return""]",0,[4.9407999999523184],[null],0,6,6,6,1,Fahrstuhl,emo_mid,Diebstahl,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Verein,"[""return""]",0,[3.169800000011925],[null],0,7,7,7,1,Werkstatt,emo_mid,Verein,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Zerstörung,"[""return""]",0,[4.521600000023845],[null],0,8,8,8,1,Bündel,emo_mid,Zerstörung,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Aufgabe,"[""return""]",0,[2.385699999988077],[null],0,9,9,9,1,Pfad,emo_mid,Aufgabe,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Chaos,"[""return""]",0,[2.218999999999994],[null],0,10,10,10,1,Armband,emo_mid,Chaos,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Armut,"[""return""]",0,[1.9684999999999917],[null],0,11,11,11,1,Schale,emo_mid,Armut,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Gewalttätigkeit,"[""return""]",0,[5.922800000011918],[null],0,12,12,12,1,Sprichwort,emo_mid,Gewalt,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Gruß,"[""return""]",0,[3.5036000000238374],[null],0,13,13,13,1,Pedal,emo_mid,Gruß,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Zeit,"[""return""]",0,[2.0191000000238404],[null],0,14,14,14,1,Priester,emo_mid,Zeit,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Akt,"[""return""]",0,[1.7686000000238522],[null],0,15,15,15,1,Ketchup,emo_mid,Akt,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Rettung,"[""return""]",0,[2.5118999999761655],[null],0,16,16,16,1,Fliege,emo_mid,Rettung,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Größe,"[""return""]",0,[5.705599999964235],[null],0,17,17,17,1,Flamme,emo_mid,Größe,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Portion,"[""return""]",0,[3.4281000000238464],[null],0,18,18,18,1,Chirurg,emo_mid,Portion,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Partei,"[""return""]",0,[4.028599999964229],[null],0,19,19,19,1,Darm,emo_mid,Partei,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,???,"[""return""]",0,[2.5098000000119214],[null],0,20,20,20,1,Linse,emo_mid,Kopfweh,ima_mid
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Vitrine,"[""return""]",0,[4.357399999976153],[null],0,21,21,21,1,Bahnhof,emo_mid,Vitrine,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Rennwagen,"[""return""]",0,[2.8361000000238334],[null],0,22,22,22,1,Quader,emo_mid,Rennwagen,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Lehm,"[""return""]",0,[2.1359000000357327],[null],0,23,23,23,1,Eisfach,emo_mid,Lehm,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,???,"[""return""]",0,[9.112199999988093],[null],0,24,24,24,1,Branche,emo_mid,Ruder,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Skulptur,"[""return""]",0,[5.746500000000026],[null],0,25,25,25,1,Knie,emo_mid,Skulptur,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,???,"[""return""]",0,[5.138000000000005],[null],0,26,26,26,1,Tor,emo_mid,Kümmel,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Geld,"[""return""]",0,[2.169000000000011],[null],0,27,27,27,1,Stempel,emo_mid,Geld,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Braten,"[""return""]",0,[2.8366999999880704],[null],0,28,28,28,1,Zigarre,emo_mid,Braten,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Stier,"[""return""]",0,[2.3589999999999804],[null],0,29,29,29,1,Bankier,emo_mid,Stier,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Zement,"[""return""]",0,[2.2743999999761684],[null],0,30,30,30,1,Henkel,emo_mid,Zement,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,???,"[""return""]",0,[3.795600000023825],[null],0,31,31,31,1,Kloß,emo_mid,Buch,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Daunen,"[""return""]",0,[2.863300000011918],[null],0,32,32,32,1,Hocker,emo_mid,Daune,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,???,"[""return""]",0,[4.527000000000015],[null],0,33,33,33,1,Mitte,emo_mid,Kaktus,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,???,"[""return""]",0,[3.053899999976153],[null],0,34,34,34,1,Protokoll,emo_mid,Spatz,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,???,"[""return""]",0,[2.2914000000357646],[null],0,35,35,35,1,Masche,emo_mid,Fleck,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Krone,"[""return""]",0,[2.106799999952301],[null],0,36,36,36,1,Maurer,emo_mid,Krone,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Strohhut,"[""return""]",0,[4.707899999976149],[null],0,37,37,37,1,Gürtel,emo_mid,Strohhut,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Topflappen,"[""return""]",0,[10.048000000000002],[null],0,38,38,38,1,Kasper,emo_mid,Topflappen,ima_high
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Mai,"[""return""]",0,[1.8188000000119189],[null],0,39,39,39,1,Küken,None,Mai,None
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Ereignis?,"[""return""]",0,[10.367300000011937],[null],0,40,40,40,1,Sirene,None,Ergänzung,None
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,Offenheit,"[""return""]",0,[5.260199999988089],[null],0,41,41,41,1,Eisdiele,None,Offenheit,None
,,,SI96LL050624,2024-06-05_12h50.13.368,SNORE_recall_online,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,
