key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
return,1.96,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Ohrfeige
","[""return""]",0,[7.117000000000001],[null],0,0,0,31,1,Ereignis,8,emo_mid,long_word,Ohrfeige,8,ima_high,long_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Sandwich
","[""return""]",0,[2.7929999999999993],[null],0,1,1,9,1,Vorrecht,8,emo_mid,long_word,Sandwich,8,ima_high,long_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Karren
","[""return""]",0,[6.157000000000004],[null],0,2,2,26,1,Tube,4,emo_mid,short_word,Karren,6,ima_high,short_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Flöte
","[""return""]",0,[3.442999999999998],[null],0,3,3,18,1,Korken,6,emo_mid,short_word,Flöte,5,ima_high,short_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Durchfall
","[""return""]",0,[3.4569999999999936],[null],0,4,4,19,1,Schimmer,8,emo_mid,long_word,Durchfall,9,ima_high,long_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Haus
","[""return""]",0,[2.176000000000002],[null],0,5,5,3,1,Kelch,5,emo_mid,short_word,Haus,4,ima_high,short_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Napf
","[""return""]",0,[2.0080000000000027],[null],0,6,6,6,1,Tuch,4,emo_mid,short_word,Napf,4,ima_high,short_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Büste
","[""return""]",0,[2.7579999999999956],[null],0,7,7,20,1,Stufe,5,emo_mid,short_word,Büste,5,ima_high,short_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Backofen
","[""return""]",0,[3.6270000000000024],[null],0,8,8,15,1,Kuhstall,8,emo_mid,long_word,Backofen,8,ima_high,long_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Ambulanz
","[""return""]",0,[3.629000000000005],[null],0,9,9,33,1,Triangel,8,emo_mid,long_word,Ambulanz,8,ima_high,long_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Krug
","[""return""]",0,[9.463999999999999],[null],0,10,10,16,1,Hürde,5,emo_mid,short_word,Krug,4,ima_high,short_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Kappe
","[""return""]",0,[2.2079999999999984],[null],0,11,11,2,1,Bagger,6,emo_mid,short_word,Kappe,5,ima_high,short_word
,,,AN95NS100724,2024-07-10_10h16.59.353,SNORE_recall_online_non_nature,2023.1.3,MacIntel,62.5,"Darm
","[""return""]",0,[1.8250000000000028],[null],0,12,12,29,1,Notiz,5,emo_mid,short_word,Darm,4,ima_high,short_word
