key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
return,2.065,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,
,,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,"Haus
","[""return""]",0,[5.493999999999996],[null],0,0,0,3,1,Kelch,5,emo_mid,short_word,Haus,4,ima_high,short_word
,,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,"Backofen
","[""return""]",0,[4.109000000000002],[null],0,1,1,15,1,Kuhstall,8,emo_mid,long_word,Backofen,8,ima_high,long_word
,,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,"Doppelbett
","[""return""]",0,[4.427],[null],0,2,2,22,1,Staffelei,9,emo_mid,long_word,Doppelbett,10,ima_high,long_word
,,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,"Handtuch
","[""return""]",0,[3.8260000000000005],[null],0,3,3,21,1,Gegenteil,9,emo_mid,long_word,Handtuch,8,ima_high,long_word
,,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,"Handy
","[""return""]",0,[1.7950000000000017],[null],0,4,4,7,1,Eis,3,emo_mid,short_word,Handy,5,ima_high,short_word
,,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,"Sandwich
","[""return""]",0,[3.796999999999997],[null],0,5,5,9,1,Vorrecht,8,emo_mid,long_word,Sandwich,8,ima_high,long_word
,,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,"Deckel
","[""return""]",0,[2.8429999999999964],[null],0,6,6,23,1,Gang,4,emo_mid,short_word,Deckel,6,ima_high,short_word
,,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,"Büste
","[""return""]",0,[2.946000000000005],[null],0,7,7,20,1,Stufe,5,emo_mid,short_word,Büste,5,ima_high,short_word
,,,TEST/IN02MS180624,2024-06-18_08h16.07.699,SNORE_recall_online_non_nature,2023.1.3,MacIntel,58.82352941,"Karren
","[""return""]",0,[4.081000000000017],[null],0,8,8,26,1,Tube,4,emo_mid,short_word,Karren,6,ima_high,short_word
