key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
return,5.994,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Chor,"[""return""]",0,[12.983999999999995],[null],0,0,0,30,1,Filter,5,emo_mid,short_word,Chor,4,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Haus,"[""return""]",0,[4.334000000000003],[null],0,1,1,3,1,Kelch,5,emo_mid,short_word,Haus,4,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Dachboden,"[""return""]",0,[5.786000000000001],[null],0,2,2,25,1,Anleitung,9,emo_mid,long_word,Dachboden,9,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Handy,"[""return""]",0,[3.1640000000000015],[null],0,3,3,7,1,Eis,3,emo_mid,short_word,Handy,5,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Ohrfeige,"[""return""]",0,[4.510000000000005],[null],0,4,4,31,1,Ereignis,8,emo_mid,long_word,Ohrfeige,8,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Kappe,"[""return""]",0,[3.9369999999999976],[null],0,5,5,2,1,Bagger,6,emo_mid,short_word,Kappe,5,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Deckel,"[""return""]",0,[3.805000000000007],[null],0,6,6,23,1,Gang,4,emo_mid,short_word,Deckel,6,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Flöte,"[""return""]",0,[3.649000000000001],[null],0,7,7,18,1,Korken,6,emo_mid,short_word,Flöte,5,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Flut,"[""return""]",0,[3.921999999999997],[null],0,8,8,13,1,Akt,3,emo_mid,short_word,Flut,4,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Möbelstück,"[""return""]",0,[6.248999999999995],[null],0,9,9,12,1,Polohemd,8,emo_mid,long_word,Möbelstück,10,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Malkasten,"[""return""]",0,[5.280999999999992],[null],0,10,10,5,1,Entstehung,10,emo_mid,long_word,Malkasten,9,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Doppelbetten,"[""return""]",0,[4.616],[null],0,11,11,22,1,Staffelei,9,emo_mid,long_word,Doppelbett,10,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Stecknadel,"[""return""]",0,[3.8759999999999906],[null],0,12,12,17,1,Werbung,7,emo_mid,long_word,Stecknadel,10,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Bahre,"[""return""]",0,[3.9350000000000023],[null],0,13,13,35,1,Umwelt,6,emo_mid,short_word,Bahre,5,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Schatulle,"[""return""]",0,[6.574000000000012],[null],0,14,14,28,1,Andeutung,9,emo_mid,long_word,Schatulle,9,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Kessel,"[""return""]",0,[14.438000000000017],[null],0,15,15,16,1,Hürde,5,emo_mid,short_word,Krug,4,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Schleife,"[""return""]",0,[4.031000000000006],[null],0,16,16,24,1,Automat,7,emo_mid,long_word,Schleife,8,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Roller,"[""return""]",0,[3.7819999999999823],[null],0,17,17,32,1,Kanne,5,emo_mid,short_word,Roller,6,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Gefahr,"[""return""]",0,[6.5160000000000196],[null],0,18,18,0,1,Wodka,5,emo_mid,short_word,Dreck,5,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Seilspringen,"[""return""]",0,[4.545000000000016],[null],0,19,19,8,1,Dämmerung,9,emo_mid,long_word,Springseil,10,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Karussell,"[""return""]",0,[17.629999999999995],[null],0,20,20,4,1,Reflektor,9,emo_mid,long_word,Karussell,9,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Backofen,"[""return""]",0,[5.268000000000001],[null],0,21,21,15,1,Kuhstall,8,emo_mid,long_word,Backofen,8,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Darm,"[""return""]",0,[2.9299999999999784],[null],0,22,22,29,1,Notiz,5,emo_mid,short_word,Darm,4,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Sandwitch,"[""return""]",0,[7.617000000000019],[null],0,23,23,9,1,Vorrecht,8,emo_mid,long_word,Sandwich,8,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Durchfall,"[""return""]",0,[5.7169999999999845],[null],0,24,24,19,1,Schimmer,8,emo_mid,long_word,Durchfall,9,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Napf,"[""return""]",0,[9.549000000000007],[null],0,25,25,6,1,Tuch,4,emo_mid,short_word,Napf,4,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Gondel,"[""return""]",0,[4.388000000000005],[null],0,26,26,10,1,Tat,3,emo_mid,short_word,Gondel,6,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Waldhaus,"[""return""]",0,[4.961999999999989],[null],0,27,27,34,1,Stiefel,7,emo_mid,long_word,Waldhaus,8,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Schloss,"[""return""]",0,[3.515000000000015],[null],0,28,28,27,1,Nagellack,9,emo_mid,long_word,Schloss,7,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Handtuch,"[""return""]",0,[5.034999999999997],[null],0,29,29,21,1,Gegenteil,9,emo_mid,long_word,Handtuch,8,ima_high,long_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Karren,"[""return""]",0,[11.212999999999994],[null],0,30,30,26,1,Tube,4,emo_mid,short_word,Karren,6,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Kugel,"[""return""]",0,[4.8629999999999995],[null],0,31,31,14,1,Praxis,6,emo_mid,short_word,Kugel,5,ima_high,short_word
,,,MA01KA120624,2024-06-12_12h13.31.774,SNORE_recall_online_non_nature,2023.1.3,Win32,60.0240096,Büste,"[""return""]",0,[20.46599999999995],[null],0,32,32,20,1,Stufe,5,emo_mid,short_word,Büste,5,ima_high,short_word
