key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
return,6.9735,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,springseil,"[""return""]",0,[20.078799999982117],[null],0,0,0,8,1,Dämmerung,9,emo_mid,long_word,Springseil,10,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Flut,"[""return""]",0,[2.5566999999880764],[null],0,1,1,13,1,Akt,3,emo_mid,short_word,Flut,4,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Dreck,"[""return""]",0,[2.363500000000002],[null],0,2,2,0,1,Wodka,5,emo_mid,short_word,Dreck,5,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Sandwich,"[""return""]",0,[9.13059999999404],[null],0,3,3,9,1,Vorrecht,8,emo_mid,long_word,Sandwich,8,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Ohrfeige,"[""return""]",0,[3.744100000023842],[null],0,4,4,31,1,Ereignis,8,emo_mid,long_word,Ohrfeige,8,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Dachboden,"[""return""]",0,[7.423099999994044],[null],0,5,5,25,1,Anleitung,9,emo_mid,long_word,Dachboden,9,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Kappe,"[""return""]",0,[2.5387999999821247],[null],0,6,6,2,1,Bagger,6,emo_mid,short_word,Kappe,5,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Waldhaus,"[""return""]",0,[5.681900000005953],[null],0,7,7,34,1,Stiefel,7,emo_mid,long_word,Waldhaus,8,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Flöte,"[""return""]",0,[2.9076999999880684],[null],0,8,8,18,1,Korken,6,emo_mid,short_word,Flöte,5,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Stecknadel,"[""return""]",0,[7.873699999988077],[null],0,9,9,17,1,Werbung,7,emo_mid,long_word,Stecknadel,10,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Durchfall,"[""return""]",0,[3.9810999999940293],[null],0,10,10,19,1,Schimmer,8,emo_mid,long_word,Durchfall,9,ima_high,long_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Darm,"[""return""]",0,[13.97789999997616],[null],0,11,11,29,1,Notiz,5,emo_mid,short_word,Darm,4,ima_high,short_word
,,,TEST,2024-07-18_10h42.45.960,SNORE_recall_online_non_nature,2023.1.3,MacIntel,60.24096386,Gondel,"[""return""]",0,[7.812099999994018],[null],0,12,12,10,1,Tat,3,emo_mid,short_word,Gondel,6,ima_high,short_word
