key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
return,4.668,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,
,,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,"[""return""]",0,[16.362000000000002],[null],0,0,0,30,1,Lorbeer,7,emo_mid,long_word,Walnuss,7,ima_high,long_word
,,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,"[""return""]",0,[5.810000000000002],[null],0,1,1,33,1,Nashorn,7,emo_mid,long_word,Weißkohl,8,ima_high,long_word
,,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,"[""return""]",0,[10.329],[null],0,2,2,11,1,Vieh,4,emo_mid,short_word,Pfau,4,ima_high,short_word
,,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,"[""return""]",0,[7.938000000000002],[null],0,3,3,1,1,Araber,6,emo_mid,short_word,Vampir,6,ima_high,short_word
,,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,"[""return""]",0,[33.42400000000001],[null],0,4,4,0,1,Spore,5,emo_mid,short_word,Bulle,5,ima_high,short_word
,,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,"[""return""]",0,[4.319999999999993],[null],0,5,5,17,1,Busch,5,emo_mid,short_word,Krähe,5,ima_high,short_word
,,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,"[""return""]",0,[5.1569999999999965],[null],0,6,6,8,1,Geier,5,emo_mid,short_word,Motte,5,ima_high,short_word
,,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,"[""return""]",0,[5.894999999999996],[null],0,7,7,19,1,Maulwurf,8,emo_mid,long_word,Karpfen,7,ima_high,long_word
,,,MA01KA120624,2024-06-12_09h44.13.623,SNORE_recall_online,2023.1.3,Win32,60.0240096,,"[""return""]",0,[2.5270000000000152],[null],0,8,8,7,1,Boxer,5,emo_mid,short_word,Frucht,6,ima_high,short_word
