Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,47.11796059999324,47.11796059999324,return,14.864613700003247,None,,,,,,,,,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Dromedar,8,emo_mid,long_word,Rosenkohl,9,ima_high,long_word,True,0,0,0,26,,,,,,62.99213929999678,62.99213929999678,"
Weißkohl",['return'],0,[9.05447109999659],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Gorilla,7,emo_mid,long_word,Seepferd,8,ima_high,long_word,True,0,1,1,22,,,,,,73.07558839999547,73.07558839999547,"
Seepferd",['return'],0,[4.522766000009142],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Zwiebel,7,emo_mid,long_word,Faultier,8,ima_high,long_word,True,0,2,2,7,,,,,,78.62558739999076,78.62558739999076,"
Knoblauch",['return'],0,[5.372845799996867],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Eule,4,emo_mid,short_word,Larve,5,ima_high,short_word,True,0,3,3,5,,,,,,85.02561389999755,85.02561389999755,"
Larve",['return'],0,[2.236766500005615],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Nashorn,7,emo_mid,long_word,Weißkohl,8,ima_high,long_word,True,0,4,4,10,,,,,,88.2921481999947,88.2921481999947,"
Weißkohl",['return'],0,[27.482576599999447],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Knoblauch,9,emo_mid,long_word,Spargel,7,ima_high,long_word,True,0,5,5,8,,,,,,116.79238749999786,116.79238749999786,"
Zwiebel",['return'],0,[5.942320000001928],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Gaul,4,emo_mid,short_word,Ei,2,ima_high,short_word,True,0,6,6,23,,,,,,123.75910609999846,123.75910609999846,"
Ei",['return'],0,[1.6794610999932047],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Strauch,7,emo_mid,long_word,Rebhuhn,7,ima_high,long_word,True,0,7,7,32,,,,,,126.4423628999939,126.4423628999939,"
Faultier",['return'],0,[45.364280800000415],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Lurch,5,emo_mid,short_word,Ratte,5,ima_high,short_word,True,0,8,8,13,,,,,,172.82580819999566,172.82580819999566,"
",['return'],0,[8.62941170000704],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Käfer,5,emo_mid,short_word,Hengst,6,ima_high,short_word,True,0,9,9,15,,,,,,182.47559489999549,182.47559489999549,"
Hengst",['return'],0,[12.707632400008151],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Maulwurf,8,emo_mid,long_word,Karpfen,7,ima_high,long_word,True,0,10,10,14,,,,,,196.20894599999883,196.20894599999883,"
Karpfen",['return'],0,[3.5817803999962052],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Hafer,5,emo_mid,short_word,Gras,4,ima_high,short_word,True,0,11,11,2,,,,,,200.808924500001,200.808924500001,"
Gras",['return'],0,[2.406656599996495],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Krokodil,8,emo_mid,long_word,Seeigel,7,ima_high,long_word,True,0,12,12,34,,,,,,204.2421406999929,204.2421406999929,"
Seeigel
",['return'],0,[4.684502499992959],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Quitte,6,emo_mid,short_word,Bock,4,ima_high,short_word,True,0,13,13,30,,,,,,209.9589651999995,209.9589651999995,Bock,['return'],0,[3.272689100005664],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Vieh,4,emo_mid,short_word,Pfau,4,ima_high,short_word,True,0,14,14,20,,,,,,214.24222069999087,214.24222069999087,"
Strauß",['return'],0,[21.516390900011174],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Busch,5,emo_mid,short_word,Krähe,5,ima_high,short_word,True,0,15,15,18,,,,,,236.77575380000053,236.77575380000053,"
Krähe",['return'],0,[3.4308127999975113],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Wolf,4,emo_mid,short_word,Buche,5,ima_high,short_word,True,0,16,16,27,,,,,,241.22571539999626,241.22571539999626,"
Birke",['return'],0,[2.3886027000116883],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Kuh,4,emo_mid,short_word,Amsel,5,ima_high,short_word,True,0,17,17,9,,,,,,244.62571169999137,244.62571169999137,"
",['return'],0,[14.49342759999854],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Meise,5,emo_mid,short_word,Frucht,6,ima_high,short_word,True,0,18,18,6,,,,,,260.1420350999979,260.1420350999979,"
Eule",['return'],0,[22.51239849999547],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
Raubtier,8,emo_mid,long_word,Wildkatze,9,ima_high,long_word,True,0,19,19,35,,,,,,283.67547610000474,283.67547610000474,"
Wildkatze",['return'],0,[2.9632524000044214],[None],,,AM95NS020724,2024-07-02_14h58.39.458,SNORE_recall_in_person,2023.1.3,59.83169344638613,
