Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,17.538375000003725,17.538375000003725,return,11.301315199991222,None,,,,,,,,,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Hafer,5,emo_mid,short_word,Gras,4,ima_high,short_word,True,0,0,0,2,,,,,,29.871898599958513,29.871898599958513,Gras,['return'],0,[6.647163100016769],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Säugetier,9,emo_mid,long_word,Fledermaus,10,ima_high,long_word,True,0,1,1,29,,,,,,37.538707399973646,37.538707399973646,"
Fledermaus",['return'],0,[6.788125100021716],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Kolibri,7,emo_mid,long_word,Thunfisch,9,ima_high,long_word,True,0,2,2,28,,,,,,45.3553566999617,45.3553566999617,"
Thunfisch",['return'],0,[5.372424800007138],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Krokodil,8,emo_mid,long_word,Seeigel,7,ima_high,long_word,True,0,3,3,34,,,,,,51.75542780000251,51.75542780000251,"
Seeigel",['return'],0,[10.411405600025319],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Sprosse,7,emo_mid,long_word,Brombeere,9,ima_high,long_word,True,0,4,4,3,,,,,,63.188716600008775,63.188716600008775,"
Brombeere",['return'],0,[4.274024999991525],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Spore,5,emo_mid,short_word,Bulle,5,ima_high,short_word,True,0,5,5,0,,,,,,68.47209009999642,68.47209009999642,"
",['return'],0,[2.782808100047987],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Wolf,4,emo_mid,short_word,Buche,5,ima_high,short_word,True,0,6,6,27,,,,,,72.27198969997698,72.27198969997698,"
Buche",['return'],0,[8.775444600032642],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Languste,8,emo_mid,long_word,Getreide,8,ima_high,long_word,True,0,7,7,21,,,,,,82.07209249999141,82.07209249999141,"
",['return'],0,[2.2705759000382386],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Knoblauch,9,emo_mid,long_word,Spargel,7,ima_high,long_word,True,0,8,8,8,,,,,,85.37186949996976,85.37186949996976,"
Spagel",['return'],0,[8.442669799958821],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Lorbeer,7,emo_mid,long_word,Walnuss,7,ima_high,long_word,True,0,9,9,4,,,,,,94.83876379998401,94.83876379998401,"
Walnuss
",['return'],0,[9.92061970004579],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Maulwurf,8,emo_mid,long_word,Karpfen,7,ima_high,long_word,True,0,10,10,14,,,,,,105.78894769999897,105.78894769999897,Karpfen,['return'],0,[6.745594099978916],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Geier,5,emo_mid,short_word,Motte,5,ima_high,short_word,True,0,11,11,17,,,,,,113.55541390000144,113.55541390000144,"
Motte",['return'],0,[3.4268446000060067],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Habicht,7,emo_mid,long_word,Blutegel,8,ima_high,long_word,True,0,12,12,19,,,,,,118.00550259999,118.00550259999,"
Blutegel",['return'],0,[8.416729199991096],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Meise,5,emo_mid,short_word,Frucht,6,ima_high,short_word,True,0,13,13,6,,,,,,127.43878129997756,127.43878129997756,"
Frucht",['return'],0,[6.439450900012162],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Gorilla,7,emo_mid,long_word,Seepferd,8,ima_high,long_word,True,0,14,14,22,,,,,,134.90552549995482,134.90552549995482,"
S
eepferd",['return'],0,[10.684655099990778],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Lurch,5,emo_mid,short_word,Ratte,5,ima_high,short_word,True,0,15,15,13,,,,,,146.621942400001,146.621942400001,,['return'],0,[2.7926174000022],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Maikäfer,8,emo_mid,long_word,Sellerie,8,ima_high,long_word,True,0,16,16,12,,,,,,150.4387243000092,150.4387243000092,"
Sellerie",['return'],0,[4.576428500004113],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Mammut,6,emo_mid,short_word,Otter,5,ima_high,short_word,True,0,17,17,33,,,,,,156.03876319999108,156.03876319999108,"
Otter
",['return'],0,[3.585040800040588],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Busch,5,emo_mid,short_word,Krähe,5,ima_high,short_word,True,0,18,18,18,,,,,,160.6552634999971,160.6552634999971,Amsel,['return'],0,[11.623757000023033],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Walross,7,emo_mid,long_word,Schlange,8,ima_high,long_word,True,0,19,19,25,,,,,,173.30540229997132,173.30540229997132,"
",['return'],0,[6.8616084000095725],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Zeder,5,emo_mid,short_word,Ente,4,ima_high,short_word,True,0,20,20,24,,,,,,181.18880800000625,181.18880800000625,"
",['return'],0,[1.361913500004448],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Zwiebel,7,emo_mid,long_word,Faultier,8,ima_high,long_word,True,0,21,21,7,,,,,,183.57215129997348,183.57215129997348,"
Knoblauch
",['return'],0,[4.8021130000124685],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Eidechse,8,emo_mid,long_word,Stinktier,9,ima_high,long_word,True,0,22,22,31,,,,,,189.40540069999406,189.40540069999406,Stinktier,['return'],0,[5.544934200006537],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Raubtier,8,emo_mid,long_word,Wildkatze,9,ima_high,long_word,True,0,23,23,35,,,,,,195.97215649997815,195.97215649997815,"
Wildkatze",['return'],0,[4.690285200020298],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Barsch,6,emo_mid,short_word,Tiger,5,ima_high,short_word,True,0,24,24,16,,,,,,201.6888028999674,201.6888028999674,"
",['return'],0,[8.141514000017196],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Quitte,6,emo_mid,short_word,Bock,4,ima_high,short_word,True,0,25,25,30,,,,,,210.85554079996655,210.85554079996655,"
Bock",['return'],0,[3.279664799978491],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Nashorn,7,emo_mid,long_word,Weißkohl,8,ima_high,long_word,True,0,26,26,10,,,,,,215.15546479995828,215.15546479995828,"
Weißkohl",['return'],0,[9.394696899980772],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Käfer,5,emo_mid,short_word,Hengst,6,ima_high,short_word,True,0,27,27,15,,,,,,225.57200839999132,225.57200839999132,"
Hengst",['return'],0,[7.762283899995964],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Strauch,7,emo_mid,long_word,Rebhuhn,7,ima_high,long_word,True,0,28,28,32,,,,,,234.35530449997168,234.35530449997168,"
",['return'],0,[4.59591570001794],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Kiwi,4,emo_mid,short_word,Reptil,6,ima_high,short_word,True,0,29,29,1,,,,,,239.97185839997837,239.97185839997837,"
Reptil",['return'],0,[4.226777900010347],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Kuh,4,emo_mid,short_word,Amsel,5,ima_high,short_word,True,0,30,30,9,,,,,,245.22186409996357,245.22186409996357,"
Amsel",['return'],0,[4.704732700018212],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
Eule,4,emo_mid,short_word,Larve,5,ima_high,short_word,True,0,31,31,5,,,,,,250.95549919997575,250.95549919997575,"
larve",['return'],0,[5.626959400018677],[None],,,AN99SC170624,2024-06-17_15h08.51.056,SNORE_recall_in_person,2023.1.3,59.85418322247984,
