Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,56.070773400000235,56.070773400000235,return,11.041218000000299,None,,,,,,,,,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Busch,5,emo_mid,short_word,Krähe,5,ima_high,short_word,True,0,0,0,18,,,,,,68.13715619999994,68.13715619999994,"Krähe
",['return'],0,[21.151902999999947],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Kiwi,4,emo_mid,short_word,Reptil,6,ima_high,short_word,True,0,1,1,1,,,,,,90.32039930000019,90.32039930000019,"Reptil
",['return'],0,[4.135556100000031],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Raubtier,8,emo_mid,long_word,Wildkatze,9,ima_high,long_word,True,0,2,2,35,,,,,,95.48710650000021,95.48710650000021,Wildkatze,['return'],0,[6.47400209999978],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Vieh,4,emo_mid,short_word,Pfau,4,ima_high,short_word,True,0,3,3,20,,,,,,102.98715500000026,102.98715500000026,"
Barsch",['return'],0,[24.940812599999845],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Languste,8,emo_mid,long_word,Getreide,8,ima_high,long_word,True,0,4,4,21,,,,,,128.95382800000016,128.95382800000016,"
Getreide
",['return'],0,[6.302397100000235],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Mammut,6,emo_mid,short_word,Otter,5,ima_high,short_word,True,0,5,5,33,,,,,,136.2872508999999,136.2872508999999,Otter,['return'],0,[7.880512300000191],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Eule,4,emo_mid,short_word,Larve,5,ima_high,short_word,True,0,6,6,5,,,,,,145.1872757000001,145.1872757000001,"
?",['return'],0,[59.47675489999983],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Maikäfer,8,emo_mid,long_word,Sellerie,8,ima_high,long_word,True,0,7,7,12,,,,,,205.6870761,205.6870761,"
Sellerie",['return'],0,[4.097068599999602],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
Käfer,5,emo_mid,short_word,Hengst,6,ima_high,short_word,True,0,8,8,15,,,,,,210.8036304000002,210.8036304000002,"
Hengst",['return'],0,[5.589662899999894],[None],,,RO01GG010724,2024-07-01_21h38.36.855,SNORE_recall_in_person,2023.1.3,59.81422896770185,
