key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize
return,19.918,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Buche,"[""return""]",0,[8.99200000000019],[null],0,0,0,27,1,Wolf,4,emo_mid,short_word,Buche,5,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Fledermaus,"[""return""]",0,[4.081000000000131],[null],0,1,1,29,1,Säugetier,9,emo_mid,long_word,Fledermaus,10,ima_high,long_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Bulle,"[""return""]",0,[5.017000000000053],[null],0,2,2,0,1,Spore,5,emo_mid,short_word,Bulle,5,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Larve,"[""return""]",0,[3.716999999999871],[null],0,3,3,5,1,Eule,4,emo_mid,short_word,Larve,5,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Amsel,"[""return""]",0,[9.204999999999927],[null],0,4,4,9,1,Kuh,4,emo_mid,short_word,Amsel,5,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Ente,"[""return""]",0,[7.56699999999978],[null],0,5,5,24,1,Zeder,5,emo_mid,short_word,Ente,4,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Otter,"[""return""]",0,[3.491999999999962],[null],0,6,6,33,1,Mammut,6,emo_mid,short_word,Otter,5,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Ratte,"[""return""]",0,[9.233000000000175],[null],0,7,7,13,1,Lurch,5,emo_mid,short_word,Ratte,5,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Brombeere,"[""return""]",0,[3.3350000000000364],[null],0,8,8,3,1,Sprosse,7,emo_mid,long_word,Brombeere,9,ima_high,long_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Reptil,"[""return""]",0,[5.076999999999998],[null],0,9,9,1,1,Kiwi,4,emo_mid,short_word,Reptil,6,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Rosenkohl,"[""return""]",0,[5.232999999999947],[null],0,10,10,26,1,Dromedar,8,emo_mid,long_word,Rosenkohl,9,ima_high,long_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Raupe,"[""return""]",0,[15.018000000000029],[null],0,11,11,16,1,Barsch,6,emo_mid,short_word,Tiger,5,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Blutegel,"[""return""]",0,[5.794999999999845],[null],0,12,12,19,1,Habicht,7,emo_mid,long_word,Blutegel,8,ima_high,long_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Stinktier,"[""return""]",0,[4.468000000000075],[null],0,13,13,31,1,Eidechse,8,emo_mid,long_word,Stinktier,9,ima_high,long_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Fisch,"[""return""]",0,[23.034000000000106],[null],0,14,14,11,1,Raupe,5,emo_mid,short_word,Fisch,5,ima_high,short_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Sellerie,"[""return""]",0,[4.451000000000022],[null],0,15,15,12,1,Maikäfer,8,emo_mid,long_word,Sellerie,8,ima_high,long_word,TRUE
,,,RU02AG240724,2024-07-24_21h35.40.835,SNORE_recall_in_person,2023.1.3,Win32,58.82352941,Schlange,"[""return""]",0,[6.294000000000096],[null],0,16,16,25,1,Walross,7,emo_mid,long_word,Schlange,8,ima_high,long_word,TRUE
