Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,14.019451299999673,14.019451299999673,return,6.267435600000681,None,,,,,,,,,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Anleitung,9,emo_mid,long_word,Dachboden,9,ima_high,long_word,0,0,0,25,,,,,,21.318101499999102,21.318101499999102,Dachboden,['return'],0,[3.2868967000003977],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Filter,5,emo_mid,short_word,Chor,4,ima_high,short_word,0,1,1,30,,,,,,25.634789999999157,25.634789999999157,"
Chor",['return'],0,[1.7069468000008783],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Kanne,5,emo_mid,short_word,Roller,6,ima_high,short_word,0,2,2,32,,,,,,28.368206699999973,28.368206699999973,"
Roller",['return'],0,[3.3744751000003816],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Kuhstall,8,emo_mid,long_word,Backofen,8,ima_high,long_word,0,3,3,15,,,,,,32.768204799999694,32.768204799999694,"
Backofen",['return'],0,[7.2936204999996335],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Schimmer,8,emo_mid,long_word,Durchfall,9,ima_high,long_word,0,4,4,19,,,,,,41.06824179999967,41.06824179999967,"
Durchfall
",['return'],0,[2.753932500000701],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Ironie,6,emo_mid,short_word,Parade,6,ima_high,short_word,0,5,5,11,,,,,,44.851463899999544,44.851463899999544,parade,['return'],0,[2.2498871000007057],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Eis,3,emo_mid,short_word,Handy,5,ima_high,short_word,0,6,6,7,,,,,,48.11832519999916,48.11832519999916,"
Handy",['return'],0,[5.574914300000273],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Kelch,5,emo_mid,short_word,Haus,4,ima_high,short_word,0,7,7,3,,,,,,54.71830329999921,54.71830329999921,"
Haus",['return'],0,[2.12684100000115],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Automat,7,emo_mid,long_word,Schleife,8,ima_high,long_word,0,8,8,24,,,,,,57.86820659999921,57.86820659999921,"
Schleife
",['return'],0,[5.136809300001005],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Entstehung,10,emo_mid,long_word,Malkasten,9,ima_high,long_word,0,9,9,5,,,,,,64.03495049999947,64.03495049999947,Malkasten,['return'],0,[4.298723900000368],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Stiefel,7,emo_mid,long_word,Waldhaus,8,ima_high,long_word,0,10,10,34,,,,,,69.35129179999967,69.35129179999967,"
Waldhaus",['return'],0,[5.253685399999995],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Änderung,8,emo_mid,long_word,Tagebuch,8,ima_high,long_word,0,11,11,1,,,,,,75.63487009999972,75.63487009999972,"
Tagebuch",['return'],0,[3.2912168000002566],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Gang,4,emo_mid,short_word,Deckel,6,ima_high,short_word,0,12,12,23,,,,,,79.95150909999938,79.95150909999938,"
Deckel",['return'],0,[2.511492800000269],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Akt,3,emo_mid,short_word,Flut,4,ima_high,short_word,0,13,13,13,,,,,,83.48475899999994,83.48475899999994,"
Flut",['return'],0,[2.1292106999999305],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Nagellack,9,emo_mid,long_word,Schloss,7,ima_high,long_word,0,14,14,27,,,,,,86.63476009999977,86.63476009999977,"
Schloss",['return'],0,[2.54698929999995],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Andeutung,9,emo_mid,long_word,Schatulle,9,ima_high,long_word,0,15,15,28,,,,,,90.18481499999962,90.18481499999962,"
Schat
ulle",['return'],0,[8.084377300000597],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Tuch,4,emo_mid,short_word,Napf,4,ima_high,short_word,0,16,16,6,,,,,,99.30121539999982,99.30121539999982,Napf,['return'],0,[3.512481200000366],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Staffelei,9,emo_mid,long_word,Doppelbett,10,ima_high,long_word,0,17,17,22,,,,,,103.83488919999945,103.83488919999945,"
Doppelbett",['return'],0,[3.938213700000233],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Korken,6,emo_mid,short_word,Flöte,5,ima_high,short_word,0,18,18,18,,,,,,108.80133669999941,108.80133669999941,"
Flöte",['return'],0,[2.6041286000008768],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Tube,4,emo_mid,short_word,Karren,6,ima_high,short_word,0,19,19,26,,,,,,112.43459409999923,112.43459409999923,"
Karren",['return'],0,[8.091195900000457],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Dämmerung,9,emo_mid,long_word,Springseil,10,ima_high,long_word,0,20,20,8,,,,,,121.55143319999934,121.55143319999934,"
Springseil",['return'],0,[4.062445500000649],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
Bagger,6,emo_mid,short_word,Kappe,5,ima_high,short_word,0,21,21,2,,,,,,126.63483329999963,126.63483329999963,"
Kappe",['return'],0,[6.066797900000893],[None],,,AN95NS090724,2024-07-09_21h33.21.074,SNORE_recall_in_person,2023.1.3,60.08514064415294,
