key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
return,5.3059,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,handtuch,"[""return""]",0,[6.578999999999999],[null],0,0,0,21,1,Gegenteil,9,emo_mid,long_word,Handtuch,8,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,hinderniss,"[""return""]",0,[63.258299999952314],[null],0,1,1,34,1,Stiefel,7,emo_mid,long_word,Waldhaus,8,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,parade,"[""return""]",0,[4.164999999999992],[null],0,2,2,11,1,Ironie,6,emo_mid,short_word,Parade,6,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,dachboden,"[""return""]",0,[4.001200000047689],[null],0,3,3,25,1,Anleitung,9,emo_mid,long_word,Dachboden,9,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,handy,"[""return""]",0,[4.689100000023842],[null],0,4,4,7,1,Eis,3,emo_mid,short_word,Handy,5,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,?,"[""return""]",0,[15.613700000047686],[null],0,5,5,24,1,Automat,7,emo_mid,long_word,Schleife,8,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,?,"[""return""]",0,[10.14089999997617],[null],0,6,6,26,1,Tube,4,emo_mid,short_word,Karren,6,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,?,"[""return""]",0,[115.15220000004769],[null],0,7,7,5,1,Entstehung,10,emo_mid,long_word,Malkasten,9,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Ohrfeige,"[""return""]",0,[10.550999999999988],[null],0,8,8,31,1,Ereignis,8,emo_mid,long_word,Ohrfeige,8,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,?,"[""return""]",0,[30.182600000023854],[null],0,9,9,13,1,Akt,3,emo_mid,short_word,Flut,4,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,stecknadel,"[""return""]",0,[6.796600000023886],[null],0,10,10,17,1,Werbung,7,emo_mid,long_word,Stecknadel,10,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Springseil,"[""return""]",0,[6.447999999999979],[null],0,11,11,8,1,Dämmerung,9,emo_mid,long_word,Springseil,10,ima_high,long_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,Kappe,"[""return""]",0,[3.6333000000715288],[null],0,12,12,2,1,Bagger,6,emo_mid,short_word,Kappe,5,ima_high,short_word
,,,TEST,2024-06-26_15h32.53.814,SNORE_recall_online_non_nature,2023.1.3,Win32,59.52380952,?,"[""return""]",0,[36.420000000000016],[null],0,13,13,28,1,Andeutung,9,emo_mid,long_word,Schatulle,9,ima_high,long_word
