Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,18.35798050000085,18.35798050000085,return,15.450352199999543,None,,,,,,,,,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
Reflektor,9,emo_mid,long_word,Karussell,9,ima_high,long_word,0,0,0,4,,,,,,34.824966199999835,34.824966199999835,"
Karussel",['return'],0,[10.183109300001888],[None],,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
Triangel,8,emo_mid,long_word,Ambulanz,8,ima_high,long_word,0,1,1,33,,,,,,46.02534360000027,46.02534360000027,"
Ambulanz",['return'],0,[3.926652500000273],[None],,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
Staffelei,9,emo_mid,long_word,Doppelbett,10,ima_high,long_word,0,2,2,22,,,,,,50.97521980000056,50.97521980000056,"
Doppelbett",['return'],0,[4.608866300000955],[None],,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
Notiz,5,emo_mid,short_word,Darm,4,ima_high,short_word,0,3,3,29,,,,,,56.60860230000071,56.60860230000071,"
Darm",['return'],0,[2.672821300000578],[None],,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
Nagellack,9,emo_mid,long_word,Schloss,7,ima_high,long_word,0,4,4,27,,,,,,60.30848110000079,60.30848110000079,"
Schloss
",['return'],0,[3.4353510000000824],[None],,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
Praxis,6,emo_mid,short_word,Kugel,5,ima_high,short_word,0,5,5,14,,,,,,64.77503910000087,64.77503910000087,"Kugel
",['return'],0,[4.569475299998885],[None],,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
Filter,5,emo_mid,short_word,Chor,4,ima_high,short_word,0,6,6,30,,,,,,70.37508639999942,70.37508639999942,Chor,['return'],0,[3.529653200001121],[None],,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
Korken,6,emo_mid,short_word,Flöte,5,ima_high,short_word,0,7,7,18,,,,,,74.90848829999959,74.90848829999959,"
Flöte",['return'],0,[3.859457900000052],[None],,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
Ereignis,8,emo_mid,long_word,Ohrfeige,8,ima_high,long_word,0,8,8,31,,,,,,79.79149540000071,79.79149540000071,"
Ohrfeige",['return'],0,[3.6805032000011124],[None],,,MA01KA110624,2024-06-11_16h56.32.403,SNORE_recall_in_person,2023.1.3,59.97508634903124,
