key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima
return,12.2595,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,dachboden,"[""return""]",0,[11.609800000001087],[null],0,0,0,25,1,Anleitung,9,emo_mid,long_word,Dachboden,9,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,springseil,"[""return""]",0,[6.516699999999219],[null],0,1,1,8,1,Dämmerung,9,emo_mid,long_word,Springseil,10,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Haus,"[""return""]",0,[4.905099999999038],[null],0,2,2,3,1,Kelch,5,emo_mid,short_word,Haus,4,ima_high,short_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Gondel,"[""return""]",0,[4.549799999998868],[null],0,3,3,10,1,Tat,3,emo_mid,short_word,Gondel,6,ima_high,short_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Kugel,"[""return""]",0,[3.8166999999994005],[null],0,4,4,14,1,Praxis,6,emo_mid,short_word,Kugel,5,ima_high,short_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Kompott,"[""return""]",0,[21.034999999999854],[null],0,5,5,28,1,Andeutung,9,emo_mid,long_word,Schatulle,9,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Tagebuch,"[""return""]",0,[8.067900000000009],[null],0,6,6,1,1,Änderung,8,emo_mid,long_word,Tagebuch,8,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Darm,"[""return""]",0,[3.116899999999987],[null],0,7,7,29,1,Notiz,5,emo_mid,short_word,Darm,4,ima_high,short_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Stecknadel,"[""return""]",0,[6.7873999999983425],[null],0,8,8,17,1,Werbung,7,emo_mid,long_word,Stecknadel,10,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Dreck,"[""return""]",0,[2.5509000000001834],[null],0,9,9,0,1,Wodka,5,emo_mid,short_word,Dreck,5,ima_high,short_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Ambulanz,"[""return""]",0,[3.8837999999987005],[null],0,10,10,33,1,Triangel,8,emo_mid,long_word,Ambulanz,8,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Möbelstück,"[""return""]",0,[5.516600000001745],[null],0,11,11,12,1,Polohemd,8,emo_mid,long_word,Möbelstück,10,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Krug,"[""return""]",0,[5.683799999998882],[null],0,12,12,16,1,Hürde,5,emo_mid,short_word,Krug,4,ima_high,short_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Flut,"[""return""]",0,[2.5910000000003492],[null],0,13,13,13,1,Akt,3,emo_mid,short_word,Flut,4,ima_high,short_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Büste,"[""return""]",0,[3.309400000000096],[null],0,14,14,20,1,Stufe,5,emo_mid,short_word,Büste,5,ima_high,short_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Handtuch,"[""return""]",0,[3.9885999999996784],[null],0,15,15,21,1,Gegenteil,9,emo_mid,long_word,Handtuch,8,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Sandwich,"[""return""]",0,[4.10229999999865],[null],0,16,16,9,1,Vorrecht,8,emo_mid,long_word,Sandwich,8,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Handy,"[""return""]",0,[4.583400000000438],[null],0,17,17,7,1,Eis,3,emo_mid,short_word,Handy,5,ima_high,short_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Backofen,"[""return""]",0,[3.5335000000004584],[null],0,18,18,15,1,Kuhstall,8,emo_mid,long_word,Backofen,8,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Doppelbett,"[""return""]",0,[3.9834000000009837],[null],0,19,19,22,1,Staffelei,9,emo_mid,long_word,Doppelbett,10,ima_high,long_word
,,,RU02AG170724,2024-07-17_15h11.35.866,SNORE_recall_in_person_non_nature,2023.1.3,Win32,60.24096386,Napf,"[""return""]",0,[5.1666000000004715],[null],0,20,20,6,1,Tuch,4,emo_mid,short_word,Napf,4,ima_high,short_word
